Station,Year,Month,Day,Magnitude,Value
28079059,2014,1,3,VV,3.14
28079059,2014,1,3,DV,205
28079059,2014,1,3,TMP,11.5
28079059,2014,1,3,Unknown,20
28079059,2014,1,3,HR,94
28079059,2014,1,3,PRB,936
28079059,2014,1,3,RS,71
28079059,2014,1,3,LLA,6.5
28079060,2014,1,3,NO2,6
28079060,2014,1,3,NO,25
28079060,2014,1,3,PM10,6
28079060,2014,1,3,O3,46
28079060,2014,1,3,Unknown,21
28079060,2014,1,3,PRB,929
28079060,2014,1,3,LLA,7
28079004,2014,1,4,SO2,4
28079004,2014,1,4,CO,0.2
28079004,2014,1,4,NO2,10
28079004,2014,1,4,NO,23
28079004,2014,1,4,VV,2.19
28079004,2014,1,4,DV,6
28079004,2014,1,4,TMP,8.4
28079004,2014,1,4,Unknown,19
28079004,2014,1,4,HR,88
28079004,2014,1,4,LLA,7
28079008,2014,1,4,SO2,4
28079008,2014,1,4,CO,0.1
28079008,2014,1,4,NO2,14
28079008,2014,1,4,NO,32
28079008,2014,1,4,PM2.5,5
28079008,2014,1,4,PM10,8
28079008,2014,1,4,O3,46
28079008,2014,1,4,TOL,0.9
28079008,2014,1,4,BEN,0.4
28079008,2014,1,4,EBE,0.9
28079008,2014,1,4,Unknown,21
28079011,2014,1,4,NO2,7
28079011,2014,1,4,NO,21
28079011,2014,1,4,TOL,2.1
28079011,2014,1,4,BEN,1.1
28079011,2014,1,4,EBE,0.8
28079011,2014,1,4,Unknown,16
28079011,2014,1,4,LLA,5.5
28079016,2014,1,4,CO,0.3
28079016,2014,1,4,NO2,4
28079016,2014,1,4,NO,22
28079016,2014,1,4,O3,60
28079016,2014,1,4,Unknown,21
28079016,2014,1,4,LLA,4.5
28079017,2014,1,4,SO2,5
28079017,2014,1,4,NO2,5
28079017,2014,1,4,NO,16
28079017,2014,1,4,O3,59
28079017,2014,1,4,Unknown,20
28079018,2014,1,4,SO2,4
28079018,2014,1,4,CO,0.2
28079018,2014,1,4,NO2,1
28079018,2014,1,4,NO,13
28079018,2014,1,4,PM10,6
28079018,2014,1,4,O3,71
28079018,2014,1,4,TOL,0.4
28079018,2014,1,4,BEN,0.2
28079018,2014,1,4,EBE,1
28079018,2014,1,4,TMP,10
28079018,2014,1,4,Unknown,25
28079018,2014,1,4,LLA,10.5
28079024,2014,1,4,SO2,2
28079024,2014,1,4,CO,0.2
28079024,2014,1,4,NO2,1
28079024,2014,1,4,NO,3
28079024,2014,1,4,PM2.5,3
28079024,2014,1,4,PM10,5
28079024,2014,1,4,O3,66
28079024,2014,1,4,TOL,0.9
28079024,2014,1,4,BEN,0.1
28079024,2014,1,4,EBE,1
28079024,2014,1,4,UV,3
28079024,2014,1,4,VV,5.47
28079024,2014,1,4,DV,8
28079024,2014,1,4,TMP,8.9
28079024,2014,1,4,Unknown,20
28079024,2014,1,4,HR,83
28079024,2014,1,4,PRB,933
28079024,2014,1,4,RS,29
28079024,2014,1,4,LLA,4.1
28079027,2014,1,4,NO2,1
28079027,2014,1,4,NO,13
28079027,2014,1,4,O3,61
28079027,2014,1,4,TCH,1.32
28079027,2014,1,4,NMHC,0.16
28079027,2014,1,4,Unknown,24
28079035,2014,1,4,SO2,5
28079035,2014,1,4,CO,0.2
28079035,2014,1,4,NO2,7
28079035,2014,1,4,NO,25
28079035,2014,1,4,O3,53
28079035,2014,1,4,Unknown,23
